"Monsters, Inc.",Movie,
12 Angry Men,Movie,
12 Years a Slave,Movie,
2001: A Space Odyssey,Movie,
A Beautiful Mind,Movie,
A PASSAGE TO INDIA,Book,
A PORTRAIT OF THE ARTIST AS A YOUNG MAN,Book,
A ROOM WITH A VIEW,Book,
ANIMAL FARM,Book,
Aladdin,Movie,
All About Eve,Movie,
Annie Hall,Movie,
Apocalypse Now,Movie,
Arrested Development,TV,
Avatar,Movie,
BRAVE NEW WORLD,Book,
BRIDESHEAD REVISITED,Book,
Back to the Future,Movie,
Band of Brothers,TV,
Batman Begins,Movie,
Battlestar Galactica,TV,
Beauty and the Beast,Movie,
Ben-Hur,Movie,
Braveheart,Movie,
Buffy the Vampire Slayer,TV,
Butch Cassidy and the Sundance Kid,Movie,
CATCH-22,Book,
Casablanca,Movie,
Casino Royale,Movie,
Catch Me If You Can,Movie,
Citizen Kane,Movie,
City Lights,Movie,
Dances with Wolves,Movie,
Dial M for Murder,Movie,
Die Hard,Movie,
District 9,Movie,
Doctor Who,TV,
Downton Abbey,TV,
Dr. Strangelove,Movie,
Edward Scissorhands,Movie,
Finding Nemo,Movie,
Forrest Gump,Movie,
Friends,TV,
Game of Thrones,TV,
Gandhi,Movie,
Gladiator,Movie,
Gone with the Wind,Movie,
Good Will Hunting,Movie,
Groundhog Day,Movie,
Guardians of the Galaxy,Movie,
Harry Potter and the Deathly Hallows,Movie,
House of Cards,TV,
Indiana Jones and the Last Crusade,Movie,
Inside Out,Movie,
Iron Man,Movie,
It's a Wonderful Life,Movie,
JFK,Movie,
Jaws,Movie,
Jurassic Park,Movie,
L.A. Confidential,Movie,
LORD OF THE FLIES,Book,
LOVING,Book,
Life of Pi,Movie,
Lost,TV,
Mad Men,TV,
Metropolis,Movie,
Modern Times,Movie,
Monty Python and the Holy Grail,Movie,
No Country for Old Men,Movie,
North by Northwest,Movie,
ON THE ROAD,Book,
One Flew Over the Cuckoo's Nest,Movie,
Pirates of the Caribbean,Movie,
Planet of the Apes,Movie,
Raging Bull,Movie,
Raiders of the Lost Ark,Movie,
Rain Man,Movie,
Ratatouille,Movie,
Rear Window,Movie,
Return of the Jedi,Movie,
Rocky,Movie,
Roman Holiday,Movie,
Rope,Movie,
Rush,Movie,
Schindler's List,Movie,
Seinfeld,TV,
Sherlock,TV,
Singin' in the Rain,Movie,
Slumdog Millionaire,Movie,
Some Like It Hot,Movie,
Star Trek,Movie,
Strangers on a Train,Movie,
THE GRAPES OF WRATH,Book,
THE GREAT GATSBY,Book,
The Artist,Movie,
The Avengers,Movie,
The Big Bang Theory,TV,
The Bourne Ultimatum,Movie,
The Bridge on the River Kwai,Movie,
The Dark Knight,Movie,
The Deer Hunter,Movie,
The Elephant Man,Movie,
The Empire Strikes Back,Movie,
The Fellowship of the Ring,Movie,
The Godfather,Movie,
The Graduate,Movie,
The Green Mile,Movie,
The Help,Movie,
The IT Crowd,TV,
The Imitation Game,Movie,
The Incredibles,Movie,
The Iron Giant,Movie,
The King's Speech,Movie,
The Lion King,Movie,
The Maltese Falcon,Movie,
The Matrix,Movie,
The Nightmare Before Christmas,Movie,
The Office,TV,
The Pianist,Movie,
The Prestige,Movie,
The Princess Bride,Movie,
The Prisoner,Movie,
The Return of the Jedi,Movie,
The Return of the King,Movie,
The Shawshank Redemption,Movie,
The Simpsons,TV,
The Sixth Sense,Movie,
The Sound of Music,Movie,
The Sting,Movie,
The Third Man,Movie,
The Truman Show,Movie,
The Two Towers,Movie,
The Untouchables,Movie,
The Wizard of Oz,Movie,
The Wolf of Wall Street,Movie,
The X Files,TV,
To Kill a Mockingbird,Movie,
Toy Story,Movie,
Twin Peaks,TV,
Up,Movie,
WALL-E,Movie,
